memo1,memo2,year,area,ID,gakku
"2/22　伊香立下在地町
",,2023,26483298.27,106,Ikadachi
"11/1　比叡平
",,2023,4468725.187,119,Yamanaka Hieidaira
"10/30　北小松
",,2023,26826973.23,101,Komatsu
8/18　南小松,,2023,26826973.23,101,Komatsu
"7/4　伊香立途中町
",,2023,26483298.27,106,Ikadachi
6/9　北小松,20：00頃,2023,26826973.23,101,Komatsu
"6/8　北比良
",,2023,26826973.23,101,Komatsu
5/31　南小松,,2023,26826973.23,101,Komatsu
"5/28　栗原
",,2023,15809492.75,103,Wani
5/12　葛川坊村町,,2023,46888073.03,105,Katsuragawa
3/13　18時頃　大物,熊の足跡らしき痕跡,2024,28311196.29,102,Kido
3/13　北比良　錯誤捕獲,,2024,26826973.23,101,Komatsu
2/19　膳所池ノ内町,熊らしき動物の痕跡,2024,4016250.968,125,Zeze
1/12　10：00頃　南志賀時,熊らしき動物の痕跡,2024,7041475.135,118,Shiga
"12/6　10：30頃　膳所平尾町
",熊らしき動物の痕跡,2024,4911474.006,126,Fujimi
"11/29　15：20頃　北比良
",,2024,26826973.23,101,Komatsu
11/28　6：20頃　大物,,2024,28311196.29,102,Kido
"11/15　20：50頃　大物
",,2024,28311196.29,102,Kido
10/30　和邇北浜　錯誤捕獲,,2024,15809492.75,103,Wani
10/28　栗原　錯誤捕獲,,2024,15809492.75,103,Wani
10/27　21：10頃　伊香立途中町,西方向へ道路横断,2024,26483298.27,106,Ikadachi
10/25　19：30頃　伊香立途中町,西方向へ道路横断,2024,26483298.27,106,Ikadachi
10/24　8：30頃　和邇北浜,親子目撃　南方向山林へ移動,2024,15809492.75,103,Wani
10/24　栗原　錯誤捕獲,,2024,15809492.75,103,Wani
"10/23　7：10頃　南船路
",目撃後　北方向へ移動移動,2024,28311196.29,102,Kido
10/22　伊香立南庄町　錯誤捕獲,,2024,26483298.27,106,Ikadachi
10/21　和邇北浜　錯誤捕獲,,2024,15809492.75,103,Wani
10/21　真野普門三丁目　錯誤捕獲,,2024,5491077.398,107,Mano
10/20　18:20頃　真野普門三丁目,目撃,2024,5491077.398,107,Mano
10/18　18:30頃　真野大野一丁目,目撃後、北方向へ移動,2024,5491077.398,107,Mano
10/18　和邇北浜　錯誤　捕獲,,2024,15809492.75,103,Wani
10/17　9：15頃　八屋戸,目撃,2024,28311196.29,102,Kido
"10/17　6：00頃　八屋戸
",目撃,2024,28311196.29,102,Kido
"10/16　15:20頃　八屋戸
",目撃,2024,28311196.29,102,Kido
10/16　栗原　錯誤捕獲,,2024,15809492.75,103,Wani
10/16　8：40頃　八屋戸,車両走行中目撃。南方向へ立ち去った。,2024,28311196.29,102,Kido
"10/14　13：50頃　八屋戸
",木を登っているところを目撃,2024,28311196.29,102,Kido
10/12　6：00頃　葛川木戸口町,目撃,2024,46888073.03,105,Katsuragawa
