gakku,bear_3y,pop_0_11,bear_per_1000_children,bear_risk_0_100
Aoyama,1,1044,0.957854406,0.05509695
Fujimi,7,933,7.502679528,0.943989342
Hiyoshidai,5,204,24.50980392,3.25383005
Ikadachi,12,415,28.91566265,3.852216444
Kamitanoue,2,80,25,3.320406552
Katsuragawa,14,19,736.8421053,100
Kido,13,311,41.80064309,5.602203781
Komatsu,15,270,55.55555556,7.470341863
Mano,4,617,6.482982172,0.80549806
Mano Kita,1,435,2.298850575,0.237225772
Nango,1,836,1.196172249,0.087464341
Ogi,1,70,14.28571429,1.86523443
Ogoto,1,574,1.742160279,0.161618287
Oishi,1,287,3.484320557,0.39823164
Sakamoto,3,1394,2.152080344,0.217292017
Shiga,1,1811,0.552181115,0
Tanoue,3,567,5.291005291,0.643608451
Wani,13,595,21.8487395,2.892414752
Yamanaka Hieidaira,3,161,18.63354037,2.455739059
Zeze,1,1296,0.771604938,0.02980128
