kouji_No,gakku,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,area,ID
1000,Komatsu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,29000,26500,24600,23000,22100,21700,21400,21200,20600,20100,19800,19600,19400,19200,19000,18800,18700,18500,18000,17400,16900,16500,16100,15700,26826973.23,101
1001,Kido,0,0,0,35000,35600,36300,37300,44500,48000,45000,42500,42100,42100,41300,41000,40500,40000,38800,37600,34200,31000,28700,27000,25900,25200,24600,24200,23500,22900,22600,22300,22100,22000,21900,21800,21700,21600,21100,20400,20300,20000,19600,19200,28311196.29,102
1002,Wani,0,0,0,0,0,0,0,0,0,0,0,94500,94500,89500,86500,83500,80000,75300,71000,63000,55000,49300,45500,43600,42600,42100,41800,40500,39500,38800,38300,38000,37700,37500,37200,37200,37200,37200,36600,36400,36200,35800,35400,15809492.75,103
1003,Wani,45000,47500,49200,51000,51200,53700,60700,100000,129000,110000,100000,95000,95000,90500,89000,86000,82000,77000,72200,63000,53100,45300,40300,37500,36700,36200,35600,34300,33600,33300,33000,32800,32600,32500,32400,32300,32200,32100,31700,31400,31200,31100,31100,15809492.75,103
1004,Wani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161000,146000,136000,126000,113000,93600,82200,73800,68000,67000,68000,67100,63000,61100,60400,60100,60000,60000,60000,60000,60000,60000,60000,59900,59800,59800,59900,60000,15809492.75,103
1005,Ono,0,0,0,0,0,0,0,0,220000,180000,157000,148000,148000,139000,135000,131000,126000,114000,103000,89700,76000,66600,62000,60800,61500,62500,61700,59600,58200,58100,58100,58100,57900,57300,55600,53600,51800,50000,48400,47000,46100,45700,45400,763556.597,104
1006,Ikadachi,0,0,0,0,0,0,0,44400,46800,44000,44000,44000,44000,42000,40900,40300,39800,37200,35000,32800,30200,28100,27000,26000,25600,25200,24900,24200,23700,23400,23300,23200,23000,22800,22600,22000,21200,20400,19600,18900,18300,17800,17300,26483298.27,106
1007,Mano,91800,95000,98100,101000,105000,109000,130000,200000,255000,210000,180000,170000,170000,155000,145000,140000,134000,129000,124000,116000,107000,100000,94800,91500,95500,96500,95600,92600,91400,91100,91100,91500,91700,91900,92300,92500,92800,93300,93600,94200,95200,97000,99900,5491077.398,107
1008,Mano,0,0,0,0,0,0,0,0,0,120000,96000,90400,90400,86100,80000,79200,76000,72000,68500,58500,48000,40500,37500,35200,34900,34700,34400,33100,32200,31600,31400,31300,30700,30400,29900,29600,29300,28800,28300,27800,27300,27000,26800,5491077.398,107
1009,Mano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66200,66300,66400,66500,66700,66900,66900,66900,67500,68500,70000,5491077.398,107
1010,Katata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62900,62100,61800,61700,61500,61400,61400,61400,61400,61400,61600,62400,64500,3913085.753,109
1011,Katata,63300,65700,67500,69000,70500,72000,75900,115000,136000,120000,110000,110000,110000,102000,92500,90000,87000,83000,79500,74000,67900,63100,59500,57000,56000,56000,55500,53200,52000,51300,50900,50700,50600,50500,50200,50100,50000,49700,49300,49000,49000,49000,50000,3913085.753,109
