gakku,bear_3y,pop_0_11,bear_per_1000kids,bear_risk_index
Aoyama,1,1044,0.9578544061302682,0.055096949913307276
Fujimi,7,933,7.502679528403001,0.9439893423833388
Hiyoshidai,5,204,24.509803921568626,3.253830049880619
Ikadachi,12,415,28.91566265060241,3.852216444225689
Kamitanoue,2,80,25.0,3.320406552200513
Katsuragawa,14,19,736.8421052631578,100.0
Kido,13,311,41.80064308681672,5.602203781228643
Komatsu,15,270,55.55555555555555,7.470341863473894
Mano,4,617,6.482982171799027,0.8054980601911694
Mano Kita,1,435,2.2988505747126435,0.2372257723516375
Nango,1,836,1.1961722488038278,0.08746434146078907
Ogi,1,70,14.285714285714285,1.8652344300656911
Ogoto,1,574,1.7421602787456445,0.16161828707858253
Oishi,1,287,3.484320557491289,0.3982316402712366
Sakamoto,3,1394,2.152080344332855,0.21729201724155991
Shiga,1,1811,0.5521811154058531,0.0
Tanoue,3,567,5.291005291005291,0.6436084509895444
Wani,13,595,21.848739495798316,2.8924147515726237
Yamanaka Hieidaira,3,161,18.633540372670808,2.455739059337793
Zeze,1,1296,0.7716049382716049,0.029801280130205856
