gakku,fiscal year,pop_total,pop_0_11,pop_12_18,pop_19_64,pop_65_over,rate_0_11,rate_65_over
Aoyama,2018,11000,1725,1269,6419,1587,0.156818182,0.144272727
Aoyama,2019,11024,1654,1270,6440,1660,0.150036284,0.150580552
Aoyama,2020,10947,1548,1279,6397,1723,0.141408605,0.15739472
Aoyama,2021,10913,1451,1280,6377,1805,0.132960689,0.165399065
Aoyama,2022,10866,1354,1255,6375,1882,0.124608872,0.17320081
Aoyama,2023,10687,1224,1244,6270,1949,0.114531674,0.182371105
Aoyama,2024,10509,1115,1213,6167,2014,0.106099534,0.191645256
Aoyama,2025,10384,1044,1205,6060,2075,0.100539291,0.199826656
Chuo,2018,6346,763,317,3688,1578,0.120233218,0.248660574
Chuo,2019,6519,796,332,3806,1585,0.122104617,0.24313545
Chuo,2020,6560,798,342,3837,1583,0.121646341,0.241310976
Chuo,2021,6571,810,339,3840,1582,0.123268909,0.240754832
Chuo,2022,6825,867,332,4025,1601,0.127032967,0.234578755
Chuo,2023,7014,869,348,4184,1613,0.123895067,0.229968634
Chuo,2024,7178,867,386,4321,1604,0.120785734,0.223460574
Chuo,2025,7279,856,380,4429,1614,0.117598571,0.221733755
Fujimi,2018,9210,1073,700,5292,2145,0.1165038,0.232899023
Fujimi,2019,9297,1121,675,5343,2158,0.12057653,0.232117887
Fujimi,2020,9252,1103,674,5292,2183,0.119217466,0.235948984
Fujimi,2021,9159,1112,644,5209,2194,0.121410634,0.239545802
Fujimi,2022,9041,1071,620,5169,2181,0.118460347,0.241234377
Fujimi,2023,8802,1015,605,4992,2190,0.115314701,0.248807089
Fujimi,2024,8733,973,614,4939,2207,0.111416466,0.252719569
Fujimi,2025,8682,933,607,4935,2207,0.107463718,0.2542041
Fujio,2018,5154,319,274,2733,1828,0.061893675,0.35467598
Fujio,2019,5099,321,262,2691,1825,0.06295352,0.357913316
Fujio,2020,5053,315,258,2658,1822,0.062339204,0.360577875
Fujio,2021,5024,319,252,2629,1824,0.063495223,0.363057325
Fujio,2022,4948,319,240,2579,1810,0.064470493,0.365804365
Fujio,2023,4895,336,226,2519,1814,0.068641471,0.370582227
