ID,gakku,fiscalyear,pop_total,pop_0_11,pop_12_18,pop_19_64,pop_65_over,rate_65_over
101,Komatsu,2025,4033,270,260,1971,1532,0.379866105
102,Kido,2025,4435,311,292,2295,1537,0.346561443
103,Wani,2025,8050,595,542,4337,2576,0.32
104,Ono,2025,4154,226,151,1670,2107,0.507221955
105,Katsuragawa,2025,236,19,12,91,114,0.483050847
106,Ikadachi,2025,2822,415,152,1391,864,0.30616584
107,Mano,2025,7264,617,570,3963,2114,0.291024229
108,Mano Kita,2025,5983,435,272,2579,2697,0.450777202
109,Katata,2025,17977,2029,1037,10532,4379,0.24358903
110,Ogi,2025,1749,70,91,828,760,0.434534019
111,Ogi no Sato,2025,4450,469,243,2069,1669,0.37505618
112,Ogi no Sato Higashi,2025,8416,698,758,4742,2218,0.263545627
113,Ogoto,2025,6294,574,523,3606,1591,0.252780426
114,Hiyoshidai,2025,3471,204,145,1396,1726,0.497263037
115,Sakamoto,2025,11170,1394,655,6102,3019,0.270277529
116,Shimosakamoto,2025,11998,1716,907,6937,2438,0.203200533
117,Karasaki,2025,16706,1759,1084,9483,4380,0.262181252
118,Shiga,2025,17613,1811,1032,10019,4751,0.269743939
119,Yamanaka Hieidaira,2025,2588,161,129,1126,1172,0.452859351
120,Fujio,2025,4816,320,208,2519,1769,0.367317276
121,Nagara,2025,12375,990,729,6989,3667,0.296323232
122,Ousaka,2025,8182,749,569,4396,2468,0.301637741
123,Chuo,2025,7279,856,380,4429,1614,0.221733755
124,Hirano,2025,19395,2005,1386,10926,5078,0.261820057
125,Zeze,2025,15012,1296,925,8083,4708,0.313615774
126,Fujimi,2025,8682,933,607,4935,2207,0.2542041
127,Seiran,2025,17545,1579,1136,10251,4579,0.260986036
128,Ishiyama,2025,9979,888,625,5450,3016,0.302234693
129,Nango,2025,9304,836,689,4507,3272,0.351676698
130,Oishi,2025,4493,287,279,2479,1448,0.322279101
131,Tanoue,2025,9388,567,490,4577,3754,0.399872177
132,Kamitanoue,2025,1757,80,65,795,817,0.464997154
133,Aoyama,2025,10384,1044,1205,6060,2075,0.199826656
134,Seta,2025,15050,1819,1467,9042,2722,0.180863787
135,Seta Minami,2025,15018,1340,1001,8073,4604,0.306565455
136,Seta Higashi,2025,15441,1561,1052,8879,3949,0.255747685
137,Seta Kita,2025,19772,2397,1408,12730,3237,0.163716367
