gakku,pop_slope,pop_trend,pop_total,pop_0_11,pop_12_18,pop_19_64,pop_65_over
Aoyama,-101.5595238,Down,10384,1044,1205,6060,2075
Chuo,15.19047619,Up,7279,856,380,4429,1614
Fujimi,-24.10714286,Down,8682,933,607,4935,2207
Fujio,1.25,Flat,4816,320,208,2519,1769
Hirano,-29.01190476,Down,19395,2005,1386,10926,5078
Hiyoshidai,0.071428571,Flat,3471,204,145,1396,1726
Ikadachi,15.78571429,Up,2822,415,152,1391,864
Ishiyama,-12.52380952,Down,9979,888,625,5450,3016
Kamitanoue,-3.380952381,Down,1757,80,65,795,817
Karasaki,-5.892857143,Down,16706,1759,1084,9483,4380
Katata,26.1547619,Up,17977,2029,1037,10532,4379
Katsuragawa,0.928571429,Flat,236,19,12,91,114
Kido,-15.41666667,Down,4435,311,292,2295,1537
Komatsu,-12.83333333,Down,4033,270,260,1971,1532
Mano,-40.21428571,Down,7264,617,570,3963,2114
Mano Kita,5.714285714,Up,5983,435,272,2579,2697
Nagara,-28.13095238,Down,12375,990,729,6989,3667
Nango,-16.32142857,Down,9304,836,689,4507,3272
Ogi,-7.321428571,Down,1749,70,91,828,760
Ogi no Sato,1.880952381,Flat,4450,469,243,2069,1669
Ogi no Sato Higashi,-46.16666667,Down,8416,698,758,4742,2218
Ogoto,-28.27380952,Down,6294,574,523,3606,1591
Oishi,-20.79761905,Down,4493,287,279,2479,1448
Ono,1.511904762,Flat,4154,226,151,1670,2107
Ousaka,-23.16666667,Down,8182,749,569,4396,2468
Sakamoto,55.88095238,Up,11170,1394,655,6102,3019
Seiran,-35.33333333,Down,17545,1579,1136,10251,4579
Seta,-71.44047619,Down,15050,1819,1467,9042,2722
Seta Higashi,-49.97619048,Down,15441,1561,1052,8879,3949
Seta Kita,-10.46428571,Down,19772,2397,1408,12730,3237
Seta Minami,-35.39285714,Down,15018,1340,1001,8073,4604
Shiga,6.130952381,Up,17613,1811,1032,10019,4751
Shimosakamoto,24.11904762,Up,11998,1716,907,6937,2438
Tanoue,-28.85714286,Down,9388,567,490,4577,3754
Wani,-29.45238095,Down,8050,595,542,4337,2576
Yamanaka Hieidaira,-4.333333333,Down,2588,161,129,1126,1172
Zeze,-28.72619048,Down,15012,1296,925,8083,4708
