district,ID,pop_2025,pop_2030,change_2025_2030,trend_slope
Kamitanoue,132,80,57.61993683,-22.38006317,-3.528883979
Shimosakamoto,116,1716,1845.685771,129.6857708,24.21541169
Chuo,123,856,895.6483242,39.64832424,12.61513438
Ogi,110,70,24.85681515,-45.14318485,-7.570675486
Ogi no Sato,111,469,416.9906126,-52.00938739,0.134735048
Ogi no Sato Higashi,112,698,597.9999939,-100.0000061,-43.87500015
Ikadachi,106,415,412.7332586,-2.266741368,13.24238941
Nango,129,836,714.9301734,-121.0698266,-17.75106547
Wani,103,595,430.6949881,-164.3050119,-29.55908787
Karasaki,117,1759,1778.555029,19.55502896,-1.818595733
Sakamoto,115,1394,1449.000003,55.00000323,43.75000058
Katata,109,2029,2009,-20.00000001,16.5
Oishi,130,287,279.9725425,-7.027457518,-18.01688111
Fujimi,126,933,725.9495474,-207.0504526,-23.44482586
Komatsu,101,270,228.8819485,-41.11805154,-12.30201709
Ono,104,226,259.4388255,33.4388255,1.69473321
Yamanaka Hieidaira,119,161,137.0866663,-23.91333374,-4.371349029
Hirano,124,2005,2073.625168,68.62516805,-19.47722627
Hiyoshidai,114,204,196.1429715,-7.857028525,-1.571405694
Seiran,127,1579,1397.345521,-181.6544788,-35.30781285
Kido,102,311,225.8085693,-85.19143067,-17.06113177
Shiga,118,1811,1917.023282,106.0232815,5.607676096
Seta,134,1819,1508.999995,-310.0000051,-68.25000013
Seta Kita,137,2397,2501.999899,104.9998994,0.374997481
Seta Minami,135,1340,1148.510718,-191.4892819,-35.36076376
Seta Higashi,136,1561,1315.318472,-245.6815278,-48.89715382
Tanoue,131,567,414.5131912,-152.4868088,-28.85017237
Mano,107,617,586.9999997,-30.00000033,-33.12500001
Mano Kita,108,435,462.5860527,27.58605268,5.743130142
Ishiyama,128,888,885.433884,-2.566115973,-11.52021303
Zeze,125,1296,1153.282085,-142.7179149,-28.71481789
Katsuragawa,105,19,9,-10,0.125
Fujio,120,320,332.757623,12.75762299,1.251089481
Ousaka,122,749,538.9999939,-210.0000061,-20.12500015
Nagara,121,990,833.3552952,-156.6447048,-28.10775036
Ogoto,113,574,425.5906769,-148.4093231,-28.26767214
Aoyama,133,1044,520.8154728,-523.1845272,-101.3714934
