ID,gakku,fiscal year,school_name,teachers,classes,enroll_total,enroll_grade_1,enroll_grade_2,enroll_grade_3,enroll_grade_4,enroll_grade_5,enroll_grade_6
101,Komatsu,2019,Komatsu school,15,10,194,25,30,35,25,44,35
101,Komatsu,2020,Komatsu school,16,12,192,32,25,29,36,25,45
101,Komatsu,2021,Komatsu school,15,11,179,28,33,27,30,36,25
101,Komatsu,2022,Komatsu school,15,11,185,33,28,33,25,29,37
101,Komatsu,2023,Komatsu school,15,11,185,33,28,33,25,29,37
101,Komatsu,2024,Komatsu school,13,9,166,24,19,33,27,36,27
101,Komatsu,2025,Komatsu school,13,8,169,28,24,21,33,27,36
102,Kido,2019,Kido school,25,15,260,39,42,45,51,35,48
102,Kido,2020,Kido school,20,13,251,37,40,43,47,50,34
102,Kido,2021,Kido school,19,13,240,26,38,41,40,47,48
102,Kido,2022,Kido school,19,13,226,31,26,38,43,41,47
102,Kido,2023,Kido school,19,13,226,31,26,38,43,41,47
102,Kido,2024,Kido school,17,12,211,25,40,32,29,39,46
102,Kido,2025,Kido school,18,11,194,31,25,40,31,27,40
103,Wani,2019,Wani school,26,18,440,61,71,70,87,61,90
103,Wani,2020,Wani school,23,17,423,68,62,73,73,85,62
103,Wani,2021,Wani school,22,17,431,64,68,64,74,75,86
103,Wani,2022,Wani school,23,16,412,67,63,67,65,76,74
103,Wani,2023,Wani school,23,16,412,67,63,67,65,76,74
103,Wani,2024,Wani school,22,15,378,55,54,70,64,67,68
103,Wani,2025,Wani school,23,16,377,61,55,56,72,65,68
104,Ono,2019,Ono school,14,7,133,19,17,19,23,20,35
104,Ono,2020,Ono school,13,8,111,12,19,18,19,23,20
104,Ono,2021,Ono school,13,8,104,17,11,19,15,19,23
104,Ono,2022,Ono school,13,7,100,19,17,12,18,15,19
104,Ono,2023,Ono school,13,7,100,19,17,12,18,15,19
104,Ono,2024,Ono school,15,8,103,24,9,19,18,14,19
104,Ono,2025,Ono school,16,8,97,14,24,9,19,17,14
105,Katsuragawa,2019,Katsuragawa school,8,5,26,2,8,0,3,8,5
105,Katsuragawa,2020,Katsuragawa school,8,6,24,4,1,7,0,4,8
105,Katsuragawa,2021,Katsuragawa school,10,6,24,8,4,1,7,0,4
105,Katsuragawa,2022,Katsuragawa school,8,6,27,6,9,4,1,7,0
105,Katsuragawa,2023,Katsuragawa school,8,6,27,6,9,4,1,7,0
105,Katsuragawa,2024,Katsuragawa school,10,7,32,4,7,6,10,4,1
105,Katsuragawa,2025,Katsuragawa school,9,6,34,2,4,7,7,10,4
106,Ikadachi,2019,Ikadachi school,13,8,106,19,28,11,17,12,19
106,Ikadachi,2020,Ikadachi school,14,8,120,30,21,27,13,17,12
106,Ikadachi,2021,Ikadachi school,14,8,142,31,32,21,28,14,16
106,Ikadachi,2022,Ikadachi school,14,9,166,37,31,34,22,28,14
106,Ikadachi,2023,Ikadachi school,14,9,166,37,31,34,22,28,14
106,Ikadachi,2024,Ikadachi school,18,11,220,53,39,39,32,35,22
106,Ikadachi,2025,Ikadachi school,17,12,238,38,54,39,40,32,35
107,Mano,2019,Mano school,34,22,485,86,75,86,76,73,89
107,Mano,2020,Mano school,32,20,463,70,86,74,85,75,73
107,Mano,2021,Mano school,31,20,468,74,69,88,76,86,75
107,Mano,2022,Mano school,32,20,463,69,74,68,90,76,86
107,Mano,2023,Mano school,32,20,463,69,74,68,90,76,86
107,Mano,2024,Mano school,28,18,434,63,70,70,72,70,89
107,Mano,2025,Mano school,26,16,405,59,63,70,70,73,70
108,Mano Kita,2019,Mano Kita school,16,10,209,32,27,38,32,40,40
108,Mano Kita,2020,Mano Kita school,14,9,193,25,33,28,38,31,38
108,Mano Kita,2021,Mano Kita school,14,9,180,24,25,34,27,38,32
108,Mano Kita,2022,Mano Kita school,15,9,182,31,26,25,33,28,39
108,Mano Kita,2023,Mano Kita school,15,9,182,31,26,25,33,28,39
108,Mano Kita,2024,Mano Kita school,18,10,188,35,37,31,27,25,33
108,Mano Kita,2025,Mano Kita school,17,10,182,26,36,37,31,27,25
109,Katata,2019,Katata school,44,32,867,157,150,140,149,135,136
109,Katata,2020,Katata school,46,32,896,171,156,150,141,145,133
109,Katata,2021,Katata school,47,33,936,174,171,155,149,142,145
109,Katata,2022,Katata school,48,34,957,156,178,174,158,150,141
109,Katata,2023,Katata school,48,34,957,156,178,174,158,150,141
109,Katata,2024,Katata school,51,36,989,144,181,155,178,175,156
109,Katata,2025,Katata school,56,36,1012,179,146,180,155,179,173
110,Ogi,2019,Ogi school,11,7,74,13,12,9,13,17,10
110,Ogi,2020,Ogi school,12,7,72,9,13,11,9,13,17
110,Ogi,2021,Ogi school,12,7,67,11,10,13,11,8,14
110,Ogi,2022,Ogi school,11,7,63,10,11,10,13,11,8
110,Ogi,2023,Ogi school,11,7,63,10,11,10,13,11,8
110,Ogi,2024,Ogi school,10,6,56,5,6,10,11,11,13
110,Ogi,2025,Ogi school,10,6,48,5,6,6,10,10,11
111,Ogi no Sato,2019,Ogi no Sato school,17,12,244,53,39,45,32,41,34
111,Ogi no Sato,2020,Ogi no Sato school,18,13,247,37,53,38,45,33,41
111,Ogi no Sato,2021,Ogi no Sato school,20,12,270,63,38,54,37,45,33
111,Ogi no Sato,2022,Ogi no Sato school,20,13,290,55,63,39,51,36,46
111,Ogi no Sato,2023,Ogi no Sato school,20,13,290,55,63,39,51,36,46
111,Ogi no Sato,2024,Ogi no Sato school,23,14,313,47,57,55,65,38,51
111,Ogi no Sato,2025,Ogi no Sato school,24,14,316,54,46,57,55,65,39
112,Ogi no Sato Higashi,2019,Ogi no Sato Higashi school,34,25,632,74,112,93,103,130,120
112,Ogi no Sato Higashi,2020,Ogi no Sato Higashi school,32,23,603,93,73,112,92,103,130
112,Ogi no Sato Higashi,2021,Ogi no Sato Higashi school,31,22,549,77,92,73,111,92,104
112,Ogi no Sato Higashi,2022,Ogi no Sato Higashi school,32,23,525,79,77,93,74,111,91
112,Ogi no Sato Higashi,2023,Ogi no Sato Higashi school,32,23,525,79,77,93,74,111,91
112,Ogi no Sato Higashi,2024,Ogi no Sato Higashi school,31,23,506,91,86,80,80,95,74
112,Ogi no Sato Higashi,2025,Ogi no Sato Higashi school,31,22,495,65,90,86,80,80,94
113,Ogoto,2019,Ogoto school,25,18,389,62,55,68,78,59,67
113,Ogoto,2020,Ogoto school,26,18,365,45,61,54,68,78,59
113,Ogoto,2021,Ogoto school,23,16,346,34,45,64,55,69,79
113,Ogoto,2022,Ogoto school,22,14,314,46,34,46,64,55,69
113,Ogoto,2023,Ogoto school,22,14,314,46,34,46,64,55,69
113,Ogoto,2024,Ogoto school,18,11,249,30,33,45,34,45,62
113,Ogoto,2025,Ogoto school,18,10,213,31,27,31,45,34,45
114,Hiyoshidai,2019,Hiyoshidai school,15,8,116,22,14,18,14,30,18
114,Hiyoshidai,2020,Hiyoshidai school,15,8,121,22,22,14,18,15,30
114,Hiyoshidai,2021,Hiyoshidai school,12,7,109,17,23,22,14,18,15
114,Hiyoshidai,2022,Hiyoshidai school,12,7,121,24,18,24,23,14,18
114,Hiyoshidai,2023,Hiyoshidai school,12,7,121,24,18,24,23,14,18
114,Hiyoshidai,2024,Hiyoshidai school,13,8,133,20,19,26,20,24,24
114,Hiyoshidai,2025,Hiyoshidai school,14,9,130,22,20,18,26,20,24
115,Sakamoto,2019,Sakamoto school,27,18,446,92,71,76,58,73,76
115,Sakamoto,2020,Sakamoto school,26,18,455,82,92,71,75,59,76
115,Sakamoto,2021,Sakamoto school,28,19,485,94,84,96,74,77,60
115,Sakamoto,2022,Sakamoto school,33,21,538,105,94,86,98,77,78
115,Sakamoto,2023,Sakamoto school,33,21,538,105,94,86,98,77,78
115,Sakamoto,2024,Sakamoto school,37,25,631,119,123,108,96,85,100
115,Sakamoto,2025,Sakamoto school,44,30,665,122,123,125,111,98,86
116,Shimosakamoto,2019,Shimosakamoto school,39,28,779,116,131,138,109,126,159
116,Shimosakamoto,2020,Shimosakamoto school,35,26,762,137,120,129,137,111,128
116,Shimosakamoto,2021,Shimosakamoto school,39,28,780,144,136,121,129,139,111
116,Shimosakamoto,2022,Shimosakamoto school,42,28,819,143,145,139,123,129,140
116,Shimosakamoto,2023,Shimosakamoto school,42,28,819,143,145,139,123,129,140
116,Shimosakamoto,2024,Shimosakamoto school,42,31,845,141,145,149,149,140,121
116,Shimosakamoto,2025,Shimosakamoto school,42,32,878,152,141,145,150,150,140
117,Karasaki,2019,Karasaki school,44,32,883,151,126,146,181,143,136
117,Karasaki,2020,Karasaki school,42,32,892,146,147,129,147,180,143
117,Karasaki,2021,Karasaki school,46,32,888,133,148,148,130,151,178
117,Karasaki,2022,Karasaki school,44,33,853,147,133,150,150,126,147
117,Karasaki,2023,Karasaki school,44,33,853,147,133,150,150,126,147
117,Karasaki,2024,Karasaki school,50,32,862,138,146,145,137,154,142
117,Karasaki,2025,Karasaki school,53,34,864,126,141,152,150,138,157
118,Shiga,2019,Shiga school,42,31,726,119,116,108,123,147,113
118,Shiga,2020,Shiga school,45,32,725,117,121,111,109,124,143
118,Shiga,2021,Shiga school,42,32,704,120,113,121,114,111,125
118,Shiga,2022,Shiga school,42,32,709,126,121,115,123,114,110
118,Shiga,2023,Shiga school,42,32,709,126,121,115,123,114,110
118,Shiga,2024,Shiga school,46,32,739,126,122,128,124,118,121
118,Shiga,2025,Shiga school,43,31,765,148,125,119,131,123,119
119,Yamanaka Hieidaira,2019,Yamanaka Hieidaira school,12,8,102,13,11,24,20,14,20
