ID,gakku,school_name
101,Komatsu,Komatsu school
102,Kido,Kido school
103,Wani,Wani school
104,Ono,Ono school
105,Katsuragawa,Katsuragawa school
106,Ikadachi,Ikadachi school
107,Mano,Mano school
108,Mano Kita,Mano Kita school
109,Katata,Katata school
110,Ogi,Ogi school
111,Ogi no Sato,Ogi no Sato school
112,Ogi no Sato Higashi,Ogi no Sato Higashi school
113,Ogoto,Ogoto school
114,Hiyoshidai,Hiyoshidai school
115,Sakamoto,Sakamoto school
116,Shimosakamoto,Shimosakamoto school
117,Karasaki,Karasaki school
118,Shiga,Shiga school
119,Yamanaka Hieidaira,Yamanaka Hieidaira school
120,Fujio,Fujio school
121,Nagara,Nagara school
122,Ousaka,Ousaka school
123,Chuo,Chuo school
124,Hirano,Hirano school
125,Zeze,Zeze school
126,Fujimi,Fujimi school
127,Seiran,Seiran school
128,Ishiyama,Ishiyama school
129,Nango,Nango school
130,Oishi,Oishi school
131,Tanoue,Tanoue school
132,Kamitanoue,Kamitanoue school
133,Aoyama,Aoyama school
134,Seta,Seta school
135,Seta Minami,Seta Minami school
136,Seta Higashi,Seta Higashi school
137,Seta Kita,Seta Kita school
999,other,Fuzoku school
