school_name,gakku,pred_2030,risk2030
Aoyama school,Aoyama,384.9622679381549,Low
Chuo school,Chuo,506.5763914195166,Low
Fujimi school,Fujimi,551.9576792358025,Low
Fujio school,Fujio,169.93284557937605,Watch
Fuzoku school,other,580.0000000113286,Low
Hirano school,Hirano,867.2770615580033,Low
Hiyoshidai school,Hiyoshidai,146.4088256814712,Watch
Ikadachi school,Ikadachi,359.0833085543426,Low
Ishiyama school,Ishiyama,367.465098877754,Low
Kamitanoue school,Kamitanoue,76.0668032167594,High
Karasaki school,Karasaki,848.1673781644694,Low
Katata school,Katata,1116.5210340143747,Low
Katsuragawa school,Katsuragawa,48.654967962818425,High
Kido school,Kido,146.28890667576337,Watch
Komatsu school,Komatsu,146.86192848620544,Watch
Mano Kita school,Mano Kita,159.6541754027388,Watch
Mano school,Mano,257.76499302601155,Low
Nagara school,Nagara,507.3180025738285,Low
Nango school,Nango,443.4598989536168,Low
Ogi no Sato Higashi school,Ogi no Sato Higashi,434.8921780121756,Low
Ogi no Sato school,Ogi no Sato,386.57884050431596,Low
Ogi school,Ogi,16.14031950214163,High
Ogoto school,Ogoto,21.847009625684635,High
Oishi school,Oishi,132.71770083964995,Watch
Ono school,Ono,67.00000261729673,High
Ousaka school,Ousaka,239.0000046755224,Low
Sakamoto school,Sakamoto,906.0870696502262,Low
Seiran school,Seiran,778.1386055624943,Low
Seta Higashi school,Seta Higashi,763.4453600069235,Low
Seta Kita school,Seta Kita,1087.3115136153258,Low
Seta Minami school,Seta Minami,744.783717396676,Low
Seta school,Seta,635.6005339689993,Low
Shiga school,Shiga,901.2356808883999,Low
Shimosakamoto school,Shimosakamoto,994.8322169712777,Low
Tanoue school,Tanoue,176.88999160822038,Watch
Wani school,Wani,320.82454092056435,Low
Yamanaka Hieidaira school,Yamanaka Hieidaira,92.43048074714706,High
Zeze school,Zeze,666.1036120588676,Low
