gakku,fiscalyear,enroll_total
Aoyama,2019,1019
Aoyama,2020,964
Aoyama,2021,960
Aoyama,2022,893
Aoyama,2023,893
Aoyama,2024,780
Aoyama,2025,718
Chuo,2019,289
Chuo,2020,293
Chuo,2021,331
Chuo,2022,364
Chuo,2023,364
Chuo,2024,396
Chuo,2025,398
Fujimi,2019,424
Fujimi,2020,427
Fujimi,2021,434
Fujimi,2022,453
Fujimi,2023,453
Fujimi,2024,476
Fujimi,2025,487
Fujio,2019,155
Fujio,2020,151
Fujio,2021,131
Fujio,2022,135
Fujio,2023,135
Fujio,2024,148
Fujio,2025,147
Hirano,2019,1089
Hirano,2020,1092
Hirano,2021,1042
Hirano,2022,1026
Hirano,2023,1026
Hirano,2024,999
Hirano,2025,962
Hiyoshidai,2019,116
Hiyoshidai,2020,121
Hiyoshidai,2021,109
Hiyoshidai,2022,121
Hiyoshidai,2023,121
Hiyoshidai,2024,133
Hiyoshidai,2025,130
Ikadachi,2019,106
Ikadachi,2020,120
Ikadachi,2021,142
Ikadachi,2022,166
Ikadachi,2023,166
Ikadachi,2024,220
Ikadachi,2025,238
Ishiyama,2019,514
Ishiyama,2020,505
Ishiyama,2021,466
Ishiyama,2022,466
Ishiyama,2023,466
Ishiyama,2024,447
Ishiyama,2025,432
Kamitanoue,2019,72
Kamitanoue,2020,77
Kamitanoue,2021,81
Kamitanoue,2022,83
Kamitanoue,2023,83
Kamitanoue,2024,77
Kamitanoue,2025,79
Karasaki,2019,883
Karasaki,2020,892
Karasaki,2021,888
Karasaki,2022,853
Karasaki,2023,853
Karasaki,2024,862
Karasaki,2025,864
Katata,2019,867
Katata,2020,896
Katata,2021,936
Katata,2022,957
Katata,2023,957
Katata,2024,989
Katata,2025,1012
Katsuragawa,2019,26
Katsuragawa,2020,24
Katsuragawa,2021,24
Katsuragawa,2022,27
Katsuragawa,2023,27
Katsuragawa,2024,32
Katsuragawa,2025,34
Kido,2019,260
Kido,2020,251
Kido,2021,240
Kido,2022,226
Kido,2023,226
Kido,2024,211
Kido,2025,194
Komatsu,2019,194
Komatsu,2020,192
Komatsu,2021,179
Komatsu,2022,185
Komatsu,2023,185
Komatsu,2024,166
Komatsu,2025,169
Mano,2019,485
Mano,2020,463
Mano,2021,468
Mano,2022,463
Mano,2023,463
Mano,2024,434
Mano,2025,405
